title,url,datePosted,neighborhood,compensation
Data Engineer [Remote],https://sfbay.craigslist.org/pen/sof/d/redwood-city-data-engineer-remote/7874859703.html,1755612240000,8/19130K,
Machine Vision Engineer,https://sfbay.craigslist.org/sby/sof/d/cupertino-machine-vision-engineer/7874789268.html,1755568029000,8/18Competitive package including base sala...OPT Machine Vision Inc,
Principle Machine Vision Engineer,https://sfbay.craigslist.org/sby/sof/d/cupertino-principle-machine-vision/7874788863.html,1755567870000,8/18Competitive package including base sala...OPT Machine Vision Inc,
Litigation Technology Specialist (Computer Science / AI Background),https://sfbay.craigslist.org/eby/sof/d/berkeley-litigation-technology/7874643885.html,1755545386000,8/18To be determined,
Founding Engineer (Golang),https://sfbay.craigslist.org/pen/sof/d/san-jose-founding-engineer-golang/7874532691.html,1755491476000,8/182.5 - 7.5% LLC membership after one yea...,
Business Systems Analyst,https://sfbay.craigslist.org/nby/sof/d/corte-madera-business-systems-analyst/7873931459.html,1755280713000,"8/15$8,814 -  $12,321/MONTHLYMarin Water",
Plate Laser Operator- Must have computer skills,https://sfbay.craigslist.org/eby/sof/d/vacaville-plate-laser-operator-must/7873606395.html,1755183523000,8/14$20 to $25 depending on skills and expe...Martin's Metal Fabrication,
Software Development Intern,https://sfbay.craigslist.org/eby/sof/d/fremont-software-development-intern/7873404712.html,1755107479000,8/13based on experience and in person discu...,
Senior Software Engineer,https://sfbay.craigslist.org/pen/sof/d/san-mateo-senior-software-engineer/7872205338.html,1754688441000,8/8Competitive salary and benefitsIXL Learning,
Software Engineering Manager,https://sfbay.craigslist.org/pen/sof/d/san-mateo-software-engineering-manager/7872204975.html,1754688353000,8/8Competitive salary and benefitsIXL Learning,
Software Engineer,https://sfbay.craigslist.org/pen/sof/d/san-mateo-software-engineer/7872204658.html,1754688278000,8/8Competitive salary and benefitsIXL Learning,
Senior Data Analyst,https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-data-analyst/7871929252.html,1754599936000,8/7Will discuss with applicantMaplebear Inc. D/B/A Instacart,
"Senior Software Engineer, Data",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-senior-software-engineer/7871918181.html,1754597780000,8/7Will discuss with applicantMaplebear Inc. D/B/A Instacart,
Build the Future of Surfing: Head of Engineering Wanted,https://sfbay.craigslist.org/scz/sof/d/santa-cruz-build-the-future-of-surfing/7871716453.html,1754525994000,"8/6significant equityOnda Sports, Inc.",
Software Engineer Intern,https://sfbay.craigslist.org/eby/sof/d/hayward-software-engineer-intern/7871330470.html,1754415017000,"8/5$17-27 per hour, depending on experienc...CTI One Corporation",
SAP Senior Application Development Analyst (JO#6485),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-sap-senior-application/7870146883.html,1753999885000,"7/31$8,866 - $13,298 per monthJudicial Council of California",
Builder + Hacker + Customer Whisperer,https://sfbay.craigslist.org/pen/sof/d/atherton-builder-hacker-customer/7869659545.html,1753840573000,7/29Hourly amount tbd on experienceDomalytx,
Builder + Hacker + Customer Whisperer,https://sfbay.craigslist.org/pen/sof/d/atherton-builder-hacker-customer/7869291439.html,1753731074000,7/28Hourly amount tbd on experienceDomalytx,
Web Developer (Anderson Main Office),https://redding.craigslist.org/sof/d/anderson-web-developer-anderson-main/7875554694.html,1755816125000,8/21Excellent wage and benefit package with...Sierra Pacific Industries,
Excel Expert,https://reno.craigslist.org/sof/d/reno-excel-expert/7872118613.html,1754672131000,8/8$25/hour,
Programmer,https://reno.craigslist.org/sof/d/reno-programmer/7872110105.html,1754670670000,8/8$30/hour,
Programmer,https://reno.craigslist.org/sof/d/reno-programmer/7872104377.html,1754669723000,8/8$25/hour,
SAP Senior Application Development Analyst (JO#6485),https://sacramento.craigslist.org/sof/d/sacramento-sap-senior-application/7870147351.html,1753999991000,"7/31$8,866 - $13,298 per monthJudicial Council of California",
